Country,GIE,GIE_rank,Maternal_mortality,Adolescent_birth,Parliament_share,Secondary_edu_f,Secondary_edu_m,Labor_f,Labor_m
Afghanistan,0.575,143,396,69,27.4,13.2,36.9,48.7,82.1
Albania,0.234,51,29,19.6,27.9,93.5,92.8,47.2,64.9
Algeria,0.443,100,140,10.1,21.3,39.1,38.9,14.9,67.4
Andorra,..,..,..,..,32.1,71.5,73.3,..,..
Angola,0.578,144,477,150.5,30.5,23.1,38.1,75.4,80.1
Antigua and Barbuda,..,..,..,42.8,31.4,..,..,..,..
Argentina,0.354,77,52,62.8,39.5,66.5,63.3,49,72.8
Armenia,0.259,57,25,21.5,18.1,96.9,97.6,49.6,69.9
Australia,0.103,25,6,11.7,32.7,90,90.7,59.7,70.5
Austria,0.073,14,4,7.3,34.8,100,100,54.8,65.9
Azerbaijan,0.321,70,25,55.8,16.8,93.9,97.5,63.1,69.7
Bahamas,0.353,76,80,30,21.8,88,91,67.6,82
Bahrain,0.207,47,15,13.4,18.8,64.2,57.5,44.5,87.3
Bangladesh,0.536,129,176,83,20.3,45.3,49.2,36,81.3
Barbados,0.256,55,27,33.6,27.5,94.6,91.9,61.9,69.6
Belarus,0.119,27,4,14.5,33.1,87.2,92.5,58.1,70.3
Belgium,0.045,6,7,4.7,41.4,82.6,87.1,47.9,58.9
Belize,0.391,91,28,68.5,11.1,78.9,78.4,53.3,81.4
Benin,0.613,148,405,86.1,7.2,18.2,33.6,69.2,73.3
Bhutan,0.436,99,148,20.2,15.3,7.6,17.5,58.2,74.5
Bolivia,0.446,101,206,64.9,51.8,52.8,65.1,56.6,79.4
Bosnia and Herzegovina,0.162,38,11,9.6,19.3,73.1,90,35.6,58.6
Botswana,0.464,111,129,46.1,9.5,89.6,90.3,66.2,78.6
Brazil,0.386,89,44,59.1,15,61,57.7,54,74.4
Brunei Darussalam,0.234,51,23,10.3,9.1,69.5,70.6,58.2,71.7
Bulgaria,0.218,48,11,39.9,23.8,94.2,96.2,49.5,61.6
Burkina Faso,0.612,147,371,104.3,11,6,12.1,58.5,75.1
Burundi,0.52,124,712,55.6,38.8,7.5,11,80.4,77.6
Cabo Verde,0.372,83,42,73.8,20.8,28.7,31.2,65.1,73.2
Cambodia,0.474,114,161,50.2,19.3,15.1,28.1,75.2,87.6
Cameroon,0.566,140,596,105.8,29.3,32.7,40.9,71.2,81.4
Canada,0.083,18,7,8.4,31.7,100,100,60.9,69.7
Central African Republic,0.682,159,882,129.1,8.6,13.4,31.1,64.7,79.8
Chad,0.701,160,856,161.1,15.3,1.7,10.3,64.8,77.9
Chile,0.288,62,22,41.1,22.7,79,80.9,51,74.2
China,0.163,39,27,7.6,24.9,75.4,83,61.3,75.9
Colombia,0.411,94,64,66.7,19,53.1,50.9,58.6,82
Comoros,..,..,335,65.4,6.1,..,..,37.4,50.7
"Congo, Republic of",0.579,145,442,112.2,14,46.7,51.3,66.9,71.6
"Congo, Democratic Republic of the Congo",0.655,156,693,124.2,8.2,36.7,65.8,60.8,66.5
Costa Rica,0.285,61,25,53.5,45.6,53.8,52.3,45.7,74.6
Côte d'Ivoire,0.657,157,645,117.6,9.2,17.8,34.1,48.3,66
Croatia,0.122,31,8,8.7,18.5,94.5,96.9,45.7,58.2
Cuba,0.312,67,39,51.6,53.2,86.7,88.9,40,67.4
Cyprus,0.086,20,7,4.6,17.9,78.2,82.6,57.3,67.2
Czech Republic,0.137,35,4,12,20.3,99.8,99.8,52.4,68.4
Denmark,0.04,2,6,4.1,37.4,89.2,89.4,58.1,65.9
Djibouti,..,..,229,18.8,26.2,..,..,54.8,71.1
